2022-10-05 12:51:06,694 INFO    MainThread:273394 [wandb_setup.py:_flush():68] Configure stats pid to 273394
2022-10-05 12:51:06,695 INFO    MainThread:273394 [wandb_setup.py:_flush():68] Loading settings from /home/ubuntu/.config/wandb/settings
2022-10-05 12:51:06,695 INFO    MainThread:273394 [wandb_setup.py:_flush():68] Loading settings from /home/ubuntu/dung.nt184244/backdoor-attack/FedGrad-DBA/wandb/settings
2022-10-05 12:51:06,695 INFO    MainThread:273394 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-05 12:51:06,695 INFO    MainThread:273394 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'dba.py', 'program': 'dba.py'}
2022-10-05 12:51:06,695 INFO    MainThread:273394 [wandb_init.py:_log_setup():476] Logging user logs to /home/ubuntu/dung.nt184244/backdoor-attack/FedGrad-DBA/wandb/offline-run-20221005_125106-3o0x0oek/logs/debug.log
2022-10-05 12:51:06,695 INFO    MainThread:273394 [wandb_init.py:_log_setup():477] Logging internal logs to /home/ubuntu/dung.nt184244/backdoor-attack/FedGrad-DBA/wandb/offline-run-20221005_125106-3o0x0oek/logs/debug-internal.log
2022-10-05 12:51:06,695 INFO    MainThread:273394 [wandb_init.py:init():516] calling init triggers
2022-10-05 12:51:06,695 INFO    MainThread:273394 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-10-05 12:51:06,695 INFO    MainThread:273394 [wandb_init.py:init():569] starting backend
2022-10-05 12:51:06,695 INFO    MainThread:273394 [wandb_init.py:init():573] setting up manager
2022-10-05 12:51:06,701 INFO    MainThread:273394 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-10-05 12:51:06,705 INFO    MainThread:273394 [wandb_init.py:init():580] backend started and connected
2022-10-05 12:51:06,712 INFO    MainThread:273394 [wandb_init.py:init():658] updated telemetry
2022-10-05 12:51:06,741 INFO    MainThread:273394 [wandb_init.py:init():727] starting run threads in backend
2022-10-05 12:51:10,417 INFO    MainThread:273394 [wandb_run.py:_console_start():1954] atexit reg
2022-10-05 12:51:10,418 INFO    MainThread:273394 [wandb_run.py:_redirect():1812] redirect: SettingsConsole.WRAP_RAW
2022-10-05 12:51:10,418 INFO    MainThread:273394 [wandb_run.py:_redirect():1877] Wrapping output streams.
2022-10-05 12:51:10,418 INFO    MainThread:273394 [wandb_run.py:_redirect():1899] Redirects installed.
2022-10-05 12:51:10,418 INFO    MainThread:273394 [wandb_init.py:init():764] run started, returning control to user process
2022-10-05 12:53:23,104 WARNING MsgRouterThr:273394 [router.py:message_loop():77] message_loop has been closed
